Data,Moto,Tipo,Categoria,Valor,Observação,Ano,Mes,Periodo
2026-02-13,2 - Factor 150cc STS,Saída,Manutenção,30.0,Mão de Obra,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Revisão,80.0,,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,100.0,Tração,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,40.0,Óleo,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,35.0,Vela NGK,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,30.0,Pastilha de Freio,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,5.0,Filtro de Óleo,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,110.0,Disco de Freio,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,30.0,Manete de Embreagem,2026,2,2026-02
2026-02-13,13 - Fazer 150 Preta SZL,Saída,Manutenção,150.0,Desempeno de Roda,2026,2,2026-02
2026-02-13,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-14,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2026,2,2026-02
,12 - Factor 2025 TOV,Entrada,Aluguel,250.0,,,,<NA>-<NA>
2026-02-18,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-18,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-18,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-19,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-21,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-22,12 - Factor 2025 TOV,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-23,8 - Fazer 150 Preta SNP,Entrada,Aluguel,300.0,,2026,2,2026-02
2026-02-24,11 - Factor 2025 SOZ,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-24,13 - Fazer 150 Preta SZL,Saída,Outros,35.0,Cópia Chave,2026,2,2026-02
2026-02-25,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-25,3 - Factor vermelha SGE,Saída,Manutenção,100.0,Tração,2026,2,2026-02
2026-02-25,4 - Factor preta SOC,Saída,Revisão,80.0,,2026,2,2026-02
2026-02-25,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-25,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-26,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2026,2,2026-02
2026-02-27,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,Aluguel 250 Calção 50,2026,2,2026-02
2026-02-27,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2026,2,2026-02
